cluster,voorhees_nn,overlap,kl_divergence,density,nmrd
alt.atheism,0.8,0.09620895609259605,8.42593830507774,0.008573300245111796,0.4321415822529373
comp.graphics,0.9,0.10443821176886559,9.085764496691194,0.006805442688692597,0.537074493588657
comp.os.ms-windows.misc,0.7,0.08764634653925896,9.24231154080802,0.002684451302639985,0.49393424514375545
comp.sys.ibm.pc.hardware,0.6,0.11537504568696022,8.847939661186457,0.007516459933632034,0.5035575799138511
comp.sys.mac.hardware,0.8,0.1042327843606472,8.949899245362907,0.007254407526240866,0.48149160458487744
comp.windows.x,1.0,0.1300996858626604,8.985668645230994,0.005498689030942902,0.6383790961361334
misc.forsale,1.0,0.15511389821767807,9.82520526969431,0.006139404572347455,0.6356532746569713
rec.autos,0.9,0.09579640254378319,8.83974002085681,0.007171677479708915,0.5710089220307438
rec.motorcycles,1.0,0.08694640919566154,9.093720779290003,0.006403803011578689,0.5921537924645002
rec.sport.baseball,1.0,0.1974401492625475,9.186033865521186,0.008210429434080858,0.7505994870755685
rec.sport.hockey,1.0,0.22864787839353085,9.274600835249498,0.0074838597757026296,0.8330948661449021
sci.crypt,0.9,0.14830438420176506,8.541941651503828,0.007320615698275273,0.6870567828692822
sci.electronics,0.4,0.05857490189373493,9.067841469018534,0.006731887345078581,0.39897433010493044
sci.med,1.0,0.08479359745979309,8.662258759389625,0.0062261328630539,0.6601337988249364
sci.space,1.0,0.07478391751646996,8.779118200293246,0.006538800230089786,0.5832980564032846
soc.religion.christian,0.5,0.14412447065114975,7.833497179596719,0.00864228255404726,0.6052553327130492
talk.politics.guns,1.0,0.1259944885969162,8.568374587381898,0.006620344860380176,0.5717202131897102
talk.politics.mideast,1.0,0.18389597535133362,8.401668175627128,0.008837316991409768,0.727627872619673
talk.politics.misc,1.0,0.0855492353439331,8.36592014416571,0.009070334986936646,0.42513814794137944
talk.religion.misc,0.4,0.09681206569075584,8.48202885890513,0.009404048265886918,0.3117974093121106
